FID IID shape6
0 101 0.237028333333
0 105 0.253378666667
0 109 0.256094818182
0 129 0.292505272727
0 136 0.261719190476
0 138 0.23575525
0 142 0.278889173913
0 149 0.271481047619
0 153 0.294770333333
0 158 0.282583083333
0 161 0.263803818182
0 176 0.237100272727
0 177 0.248357478261
0 181 0.221782
0 195 0.294527434783
0 208 0.273826652174
0 21 0.260481105263
0 217 0.251565708333
0 227 0.237473954545
0 228 0.26437925
0 229 0.275284
0 237 0.267568590909
0 239 0.254665181818
0 256 0.231471666667
0 26 0.250897
0 272 0.265601826087
0 28 0.2556201875
0 280 0.26930552381
0 287 0.261411913043
0 309 0.240248875
0 310 0.211500388889
0 313 0.215068791667
0 318 0.245522
0 325 0.245981583333
0 332 0.231236136364
0 338 0.259405478261
0 350 0.238399913043
0 352 0.230692583333
0 356 0.256859782609
0 357 0.254514315789
0 358 0.266286782609
0 359 0.284514863636
0 362 0.26089873913
0 365 0.276660333333
0 367 0.252554043478
0 370 0.265903727273
0 371 0.255314
0 373 0.280859173913
0 374 0.26288695
0 375 0.255313652174
0 377 0.262864291667
0 378 0.241448695652
0 379 0.264383954545
0 38 0.284119714286
0 380 0.279509090909
0 381 0.249167608696
0 383 0.276166695652
0 386 0.235511217391
0 391 0.273448727273
0 392 0.269330409091
0 398 0.2657285
0 399 0.291970714286
0 409 0.28275075
0 426 0.2604615
0 427 0.2563765
0 437 0.226432571429
0 440 0.285645809524
0 441 0.247160318182
0 443 0.283437391304
0 45 0.249498
0 461 0.228056956522
0 491 0.2580796875
0 492 0.286507125
0 502 0.247110136364
0 508 0.247710652174
0 509 0.263352529412
0 517 0.274326458333
0 531 0.278661555556
0 535 0.267847565217
0 554 0.250006545455
0 555 0.281159727273
0 563 0.256217521739
0 57 0.194172777778
0 589 0.285592416667
0 59 0.252238208333
0 595 0.3070162
0 639 0.274632083333
0 646 0.239802
0 69 0.231192863636
0 703 0.243281608696
0 707 0.268813208333
0 712 0.264237291667
0 714 0.26211315
0 716 0.28689895
0 721 0.254941391304
0 73 0.260677380952
0 730 0.27357326087
0 732 0.272389652174
0 737 0.253615916667
0 738 0.239837913043
0 75 0.262885478261
0 757 0.246956708333
0 774 0.286152
0 776 0.238258428571
0 783 0.260058695652
0 786 0.247387875
0 787 0.257808541667
0 796 0.227377166667
0 799 0.26114526087
0 801 0.319889086957
0 802 0.319389294118
0 804 0.228772428571
0 805 0.288031173913
0 808 0.254149083333
0 810 0.260655285714
0 812 0.2838784
0 820 0.259667285714
0 822 0.268783263158
0 83 0.279752136364
0 832 0.247794
0 837 0.282277727273
0 85 0.286859470588
0 852 0.261184625
0 855 0.262315391304
0 857 0.283657272727
0 861 0.275616391304
0 879 0.268895583333
0 882 0.260497521739
0 890 0.258842625
0 892 0.235666761905
0 894 0.253305619048
0 897 0.259692391304
0 907 0.253191727273
0 908 0.2824525
0 91 0.25552675
0 911 0.259956083333
0 93 0.288991722222
